Pression SBE41,Temperature SBE41,Salinite SBE41,Pression SBE61,Temperature SBE61,Salinite SBE61,Pression RBR,Temperature RBR,Salinite RBR,Temperature interne RBR
3976.3,2413,34898,3971.3,2415,34886,nan,nan,nan,nan
3969.7,2414,34898,3964.9,2415,34886,3972.9,2417,34872,2344
3963.1,2416,34898,3958.4,2416,34886,3966.3,2418,34872,2521
3956.5,2417,34898,3951.7,2418,34886,3959.6,2419,34873,2477
3949.8,2417,34898,3945.1,2418,34886,3953,2419,34873,2521
3943.3,2418,34898,3938.6,2419,34886,3946.4,2421,34873,2433
3936.8,2421,34898,3932.1,2422,34887,3939.9,2424,34873,2344
3930.2,2422,34899,3925.5,2422,34888,3933.3,2425,34873,2433
3923.7,2424,34899,3919,2425,34887,3926.8,2426,34874,2521
3917.2,2427,34899,3912.6,2427,34888,3920.3,2429,34874,2344
3910.7,2428,34900,3905.9,2429,34888,3913.7,2431,34874,2477
3904.1,2428,34900,3899.4,2429,34888,3907,2431,34874,2433
3897.5,2428,34900,3892.9,2429,34888,3900.5,2431,34875,2389
3891,2428,34900,3886.2,2429,34888,3893.9,2431,34875,2389
3884.4,2431,34900,3879.8,2431,34889,3887.4,2434,34875,2433
3877.9,2434,34901,3873.3,2435,34889,3880.8,2437,34875,2433
3871.4,2436,34901,3866.6,2437,34889,3874.3,2439,34876,2433
3864.8,2436,34901,3860.2,2437,34889,3867.7,2439,34876,2389
3858.3,2437,34901,3853.5,2438,34889,3861.2,2439,34876,2477
3851.6,2438,34901,3846.9,2439,34889,3854.5,2441,34876,2433
3845.1,2440,34902,3840.3,2441,34890,3848,2443,34876,2477
3838.5,2441,34902,3833.7,2441,34891,3841.4,2444,34877,2565
3832,2443,34902,3827.2,2444,34890,3834.8,2446,34877,2433
3825.3,2445,34902,3820.6,2446,34891,3828,2448,34877,2433
3818.7,2447,34903,3814,2448,34891,3821.5,2450,34878,2477
3812.1,2449,34903,3807.4,2450,34891,3814.9,2452,34878,2477
3805.6,2450,34903,3800.8,2451,34891,3808.3,2453,34878,2433
3799,2451,34903,3794.3,2451,34892,3801.8,2453,34879,2521
3792.3,2453,34903,3787.6,2454,34892,3795,2456,34878,2389
3785.7,2454,34904,3781,2454,34893,3788.4,2457,34879,2521
3779.2,2455,34904,3774.4,2455,34892,3781.9,2457,34879,2521
3772.6,2457,34904,3767.9,2458,34893,3775.3,2460,34879,2389
3765.9,2460,34904,3761.2,2461,34893,3768.6,2462,34880,2477
3759.4,2462,34905,3754.7,2463,34893,3762.1,2464,34880,2389
3752.9,2463,34905,3748.2,2464,34893,3755.6,2465,34880,2477
3746.4,2465,34905,3741.6,2466,34894,3749,2468,34880,2477
3739.7,2465,34905,3735,2466,34894,3742.3,2468,34880,2477
3733.1,2466,34905,3728.3,2466,34894,3735.6,2468,34881,2433
3726.5,2468,34906,3721.8,2469,34894,3729,2470,34881,2433
3719.8,2470,34906,3715.2,2471,34895,3722.5,2473,34881,2433
3713.2,2471,34906,3708.5,2472,34894,3715.8,2474,34882,2433
3706.5,2471,34907,3701.8,2472,34895,3709,2474,34882,2521
3699.8,2472,34906,3695.1,2473,34895,3702.4,2474,34882,2389
3693,2473,34907,3688.3,2474,34895,3695.6,2476,34882,2433
3686.5,2477,34907,3681.8,2478,34895,3688.9,2480,34882,2565
3679.8,2479,34907,3675.2,2479,34896,3682.3,2481,34883,2565
3673.2,2478,34907,3668.5,2479,34896,3675.7,2481,34883,2433
3666.6,2481,34908,3661.9,2481,34896,3669.1,2483,34883,2609
3660,2483,34908,3655.4,2483,34897,3662.6,2485,34884,2477
3653.5,2485,34908,3648.8,2486,34897,3656,2488,34884,2565
3646.9,2488,34909,3642.2,2489,34897,3649.4,2491,34884,2433
3640.3,2489,34909,3635.6,2490,34897,3642.7,2491,34885,2609
3633.7,2491,34909,3628.9,2492,34898,3636,2494,34885,2521
3626.9,2491,34909,3622.3,2492,34897,3629.5,2494,34885,2521
3620.4,2496,34910,3615.8,2497,34898,3622.8,2499,34886,2433
3613.8,2498,34910,3609.1,2499,34898,3616.2,2500,34886,2521
3607.3,2501,34910,3602.6,2501,34899,3609.8,2503,34886,2477
3600.7,2503,34910,3596.2,2503,34898,3603.1,2505,34886,2565
3594.1,2504,34910,3589.5,2504,34899,3596.5,2506,34886,2609
3587.6,2507,34911,3582.9,2507,34899,3589.9,2509,34887,2521
3581.1,2507,34911,3576.4,2508,34899,3583.4,2510,34887,2521
3574.5,2509,34911,3569.9,2509,34900,3576.9,2511,34887,2477
3568,2510,34911,3563.3,2511,34900,3570.3,2513,34887,2477
3561.3,2513,34912,3556.7,2514,34900,3563.6,2516,34888,2477
3554.6,2514,34912,3549.9,2516,34900,3557,2517,34888,2565
3548,2517,34912,3543.4,2518,34901,3550.4,2520,34889,2477
3541.4,2522,34913,3536.8,2523,34902,3543.6,2524,34889,2521
3534.6,2525,34913,3530.1,2526,34901,3537,2527,34890,2609
3528.1,2528,34913,3523.5,2529,34902,3530.4,2530,34890,2521
3521.4,2529,34914,3516.8,2530,34902,3523.8,2531,34890,2477
3514.8,2530,34914,3510.3,2531,34903,3517.1,2533,34891,2565
3508.2,2532,34914,3503.6,2533,34903,3510.5,2534,34891,2521
3501.6,2535,34915,3497,2536,34903,3503.9,2537,34891,2477
3495.1,2537,34915,3490.5,2538,34903,3497.3,2540,34892,2477
3488.4,2538,34915,3483.9,2539,34903,3490.7,2541,34892,2521
3481.8,2541,34915,3477.2,2541,34904,3484.1,2543,34892,2652
3475.3,2546,34916,3470.7,2547,34904,3477.6,2549,34893,2652
3468.5,2548,34916,3464,2549,34904,3470.8,2550,34893,2652
3461.9,2549,34916,3457.3,2550,34904,3464.1,2551,34893,2521
3455.2,2551,34916,3450.6,2551,34905,3457.5,2553,34893,2609
3448.6,2553,34917,3444.1,2553,34905,3450.9,2555,34894,2565
3442.1,2555,34917,3437.5,2556,34905,3444.3,2557,34894,2609
3435.4,2557,34917,3430.8,2559,34905,3437.6,2560,34894,2565
3428.9,2559,34918,3424.4,2560,34906,3431.2,2561,34895,2565
3422.4,2561,34918,3417.8,2562,34906,3424.5,2563,34895,2565
3415.8,2564,34918,3411.2,2564,34907,3417.9,2566,34896,2609
3409.2,2565,34918,3404.7,2566,34907,3411.4,2568,34896,2521
3402.7,2568,34918,3398.1,2569,34907,3404.9,2570,34896,2521
3396.2,2571,34919,3391.6,2572,34907,3398.3,2573,34896,2609
3389.6,2574,34919,3385,2575,34908,3391.8,2576,34897,2609
3382.9,2579,34920,3378.4,2580,34908,3385.1,2581,34897,2696
3375.2,2582,34920,3370.1,2583,34909,3377,2584,34898,2565
3368.7,2584,34920,3364.1,2585,34909,3370.8,2587,34898,2652
3362.1,2587,34921,3357.6,2588,34909,3364.3,2590,34899,2696
3355.6,2590,34921,3351,2592,34909,3357.7,2593,34899,2565
3349,2594,34922,3344.4,2595,34910,3351,2596,34900,2565
3342.3,2598,34922,3337.8,2599,34910,3344.4,2601,34900,2652
3335.7,2599,34922,3331.1,2601,34910,3337.8,2602,34900,2652
3329.1,2601,34923,3324.5,2602,34911,3331.2,2603,34901,2609
3322.6,2604,34923,3318,2605,34911,3324.7,2606,34901,2740
3316,2610,34924,3311.5,2611,34912,3318.1,2613,34902,2652
3309.4,2615,34924,3304.9,2615,34912,3311.6,2617,34902,2609
3302.9,2619,34924,3298.3,2620,34913,3304.9,2621,34903,2565
3296.2,2626,34925,3291.7,2627,34913,3298.3,2628,34903,2696
3289.6,2628,34925,3285,2629,34913,3291.6,2630,34903,2609
3282.9,2629,34925,3278.5,2631,34914,3285,2632,34904,2740
3276.3,2631,34926,3271.8,2632,34914,3278.4,2634,34904,2652
3269.7,2633,34926,3265.1,2634,34914,3271.7,2635,34905,2477
3263.2,2640,34926,3258.7,2641,34915,3265.2,2642,34906,2609
3256.6,2644,34927,3252.1,2644,34916,3258.7,2646,34906,2696
3250.1,2648,34928,3245.6,2649,34916,3252.2,2650,34907,2609
3243.5,2651,34928,3238.9,2652,34916,3245.5,2653,34907,2740
3236.9,2657,34929,3232.4,2657,34918,3239,2659,34908,2609
3230.4,2662,34929,3226,2662,34918,3232.5,2664,34909,2740
3223.9,2666,34930,3219.5,2668,34918,3226,2668,34909,2652
3217.4,2671,34931,3212.9,2672,34919,3219.4,2674,34910,2609
3210.7,2674,34931,3206.2,2675,34920,3212.7,2677,34910,2652
3204,2676,34931,3199,2678,34920,3205.5,2680,34911,2652
3197.4,2680,34931,3193,2680,34920,3199.5,2682,34911,2740
3190.9,2686,34932,3186.4,2686,34921,3192.9,2688,34911,2609
3184.4,2687,34932,3179.9,2688,34921,3186.4,2689,34912,2696
3177.8,2699,34933,3173.4,2700,34922,3179.9,2701,34913,2609
3171.3,2704,34934,3166.9,2705,34922,3173.3,2706,34914,2696
