Pression SBE41,Temperature SBE41,Salinite SBE41,Pression SBE61,Temperature SBE61,Salinite SBE61,Pression RBR,Temperature RBR,Salinite RBR,Temperature interne RBR
3961.5,2413,34896,3956.5,2414,34886,nan,nan,nan,nan
3954.8,2413,34897,3950.2,2413,34886,3958.2,2416,34868,2521
3948.3,2415,34897,3943.6,2416,34886,3951.6,2418,34868,2433
3941.6,2417,34898,3937,2418,34886,3944.9,2420,34869,2389
3935,2419,34898,3930.3,2419,34887,3938.2,2421,34869,2477
3928.4,2421,34898,3923.7,2421,34887,3931.6,2423,34869,2389
3921.8,2422,34898,3917.2,2423,34887,3925,2425,34869,2477
3915.2,2422,34898,3910.6,2423,34887,3918.4,2425,34870,2433
3908.6,2424,34899,3904,2425,34887,3911.7,2426,34870,2433
3901.9,2425,34899,3897.3,2426,34888,3905.1,2428,34870,2433
3895.3,2429,34899,3890.7,2430,34888,3898.4,2431,34871,2433
3888.8,2430,34900,3884.1,2431,34888,3891.8,2433,34871,2389
3882.2,2430,34900,3877.6,2431,34888,3885.3,2433,34871,2565
3875.7,2431,34900,3871.2,2432,34888,3878.8,2434,34871,2389
3869.2,2431,34900,3864.5,2431,34889,3872.2,2433,34872,2433
3862.6,2432,34900,3858,2433,34889,3865.6,2435,34871,2433
3856.1,2433,34900,3851.4,2434,34888,3859,2435,34872,2521
3849.5,2435,34901,3844.8,2436,34889,3852.4,2438,34872,2433
3842.9,2437,34901,3838.2,2438,34890,3845.8,2440,34872,2477
3836.3,2439,34901,3831.6,2439,34890,3839.3,2441,34873,2433
3829.6,2439,34901,3825,2439,34890,3832.6,2441,34873,2433
3823.1,2439,34901,3818.4,2440,34890,3826,2442,34873,2389
3816.5,2441,34901,3811.9,2442,34890,3819.4,2443,34873,2477
3810,2441,34901,3805.4,2442,34890,3812.9,2443,34873,2433
3803.5,2442,34902,3798.9,2444,34889,3806.3,2444,34873,2565
3796.8,2444,34902,3792.3,2445,34890,3799.7,2446,34874,2565
3790.3,2444,34902,3785.7,2445,34891,3793.1,2447,34874,2609
3783.7,2447,34902,3779,2448,34891,3786.5,2449,34874,2521
3777,2448,34903,3772.4,2449,34891,3779.8,2450,34874,2433
3770.4,2447,34903,3765.7,2448,34891,3773.2,2450,34874,2477
3763.9,2449,34902,3759.4,2450,34891,3766.7,2451,34875,2477
3757.4,2452,34903,3752.8,2452,34892,3760.2,2454,34875,2477
3750.8,2452,34904,3746.2,2454,34892,3753.6,2455,34875,2344
3744.2,2455,34903,3739.6,2455,34893,3747,2457,34875,2477
3737.6,2457,34904,3732.9,2458,34892,3740.3,2460,34876,2477
3731,2462,34904,3726.4,2463,34893,3733.7,2464,34876,2565
3724.3,2464,34905,3719.7,2465,34894,3727,2466,34877,2565
3717.8,2465,34904,3713.2,2467,34893,3720.5,2467,34877,2565
3711.2,2467,34905,3706.7,2467,34894,3714,2469,34877,2477
3704.7,2470,34906,3700.1,2472,34894,3707.3,2472,34878,2477
3698,2472,34906,3693.4,2473,34895,3700.7,2475,34878,2565
3691.5,2475,34906,3686.9,2476,34894,3694.1,2478,34878,2565
3684.9,2476,34906,3680.4,2477,34895,3687.6,2479,34879,2433
3678.3,2476,34907,3673.7,2477,34895,3680.9,2479,34879,2521
3671.8,2478,34906,3667.2,2479,34895,3674.4,2480,34879,2433
3665.2,2479,34907,3660.6,2481,34895,3667.8,2481,34879,2433
3658.5,2480,34907,3653.8,2481,34896,3661.1,2483,34880,2433
3651.9,2481,34907,3647.3,2482,34896,3654.5,2484,34880,2477
3645.4,2483,34907,3640.8,2484,34896,3648,2486,34880,2565
3638.8,2484,34908,3634.1,2485,34896,3641.4,2487,34880,2565
3632.2,2486,34908,3627.6,2486,34896,3634.7,2488,34881,2477
3625.6,2487,34908,3621.1,2488,34896,3628.1,2489,34881,2433
3618.9,2487,34908,3614.4,2488,34897,3621.5,2489,34881,2477
3612.4,2489,34908,3607.9,2490,34897,3615,2491,34881,2565
3605.9,2490,34909,3601.3,2491,34898,3608.4,2493,34881,2521
3599.2,2493,34909,3594.6,2494,34897,3601.7,2495,34881,2433
3592.4,2493,34909,3587.9,2494,34898,3595,2496,34882,2433
3585.9,2494,34909,3581.4,2496,34898,3588.4,2497,34882,2477
3579.2,2496,34909,3574.7,2498,34897,3581.7,2499,34882,2565
3572.7,2497,34909,3568.1,2498,34899,3575.2,2499,34882,2609
3566.2,2501,34910,3561.7,2501,34898,3568.7,2503,34883,2477
3559.7,2501,34910,3555,2502,34899,3562.1,2503,34883,2565
3553,2502,34910,3548.5,2502,34899,3555.5,2504,34883,2477
3546.5,2503,34910,3541.9,2504,34899,3549,2506,34883,2433
3540,2507,34911,3535.4,2508,34900,3542.4,2509,34884,2433
3533.4,2508,34911,3528.9,2509,34900,3535.8,2510,34884,2609
3526.9,2510,34911,3522.4,2510,34900,3529.4,2512,34884,2477
3520.4,2513,34912,3515.9,2513,34901,3522.9,2515,34884,2565
3513.8,2515,34912,3509.3,2516,34901,3516.2,2517,34885,2521
3507.3,2517,34912,3502.8,2518,34901,3509.7,2519,34886,2521
3500.7,2519,34912,3496.2,2519,34902,3503.1,2521,34885,2609
3494.1,2521,34913,3489.5,2522,34901,3496.5,2523,34886,2565
3487.5,2522,34913,3483,2523,34902,3489.9,2524,34886,2609
3480.9,2522,34913,3476.4,2523,34902,3483.3,2524,34886,2521
3474.3,2523,34913,3469.8,2524,34902,3476.7,2525,34886,2565
3467.8,2523,34913,3463.5,2524,34902,3470.3,2526,34887,2565
3461.3,2526,34914,3456.8,2527,34902,3463.7,2529,34887,2565
3454.7,2530,34914,3450.1,2531,34902,3457.1,2532,34887,2477
